route	page	station	platform	usable length [m]	notes
LNE	0315	London King’s Cross	1	304	Buffer stop to end of platform
LNE	0315	London King’s Cross	2	285	Buffer stop to end of platform
LNE	0315	London King’s Cross	3	289	Buffer stop to end of platform
LNE	0315	London King’s Cross	4	290	Buffer stop to end of platform
LNE	0315	London King’s Cross	5	270	Buffer stop to end of platform
LNE	0315	London King’s Cross	6	288	Buffer stop to end of platform
LNE	0315	London King’s Cross	7	288	Buffer stop to end of platform
LNE	0315	London King’s Cross	8	289	Buffer stop to end of platform
LNE	0315	London King’s Cross	9	176	Buffer stop to end of platform
LNE	0315	London King’s Cross	10	176	Buffer stop to end of platform
LNE	0315	Longbeck	Down	84	
LNE	0315	Longbeck	Up	83	
LNE	0315	Low Moor	1	96	
LNE	0315	Low Moor	2	96	
LNE	0315	Malton		150	
LNE	0315	Manors	Down	84	
LNE	0315	Manors	Up	82	
LNE	0315	Market Rasen	Down	71	
LNE	0315	Market Rasen	Up	74	
LNE	0315	Marsden	Down	100	
LNE	0315	Marsden	Up	99	
LNE	0315	Marsden	Up Passenger Loop	698	
LNE	0315	Marske	Down	137	
LNE	0315	Marske	Up	134	
LNE	0315	Marton	Single	81	
LNE	0315	Meadowhall	1	105	
LNE	0315	Meadowhall	2	105	
LNE	0315	Meadowhall	3	105	
LNE	0315	Meadowhall	4	105	
LNE	0315	Menston	Down	98 143	
LNE	0315	Menston	Up	98	
LNE	0315	Metheringham	Down	57	
LNE	0315	Metheringham	Up	57	
LNE	0316	MetroCentre	Down	100	
LNE	0316	MetroCentre	Up	100	
LNE	0316	Mexborough	Down	112	
LNE	0316	Mexborough	Up	112	
LNE	0316	Micklefield	Down	101	
LNE	0316	Micklefield	Up	90	
LNE	0316	Middlesbrough	Down	265	
LNE	0316	Middlesbrough	Up	201	
LNE	0316	Millfield	Down	65	
LNE	0316	Millfield	Up	65	
LNE	0316	Mirfield	2	150	
LNE	0316	Mirfield	3	102	
LNE	0316	Moorthorpe	Down	110	
LNE	0316	Moorthorpe	Up	120	
LNE	0316	Morley	Down	117	
LNE	0316	Morley	Up	117	
LNE	0316	Morpeth	Down	232	
LNE	0316	Morpeth	Up	234	
LNE	0316	Mytholmroyd	Down	122	
LNE	0316	Mytholmroyd	Up	122	
LNE	0316	Nafferton	Down	80	
LNE	0316	Nafferton	Up	58	
LNE	0316	New Barnet	Down Fast	177	
LNE	0316	New Barnet	Down Slow	160	
LNE	0316	New Barnet	Up Fast	165	
LNE	0316	New Barnet	Up Slow	165	
LNE	0316	New Clee	Single	144	
LNE	0316	New Holland	Single	43	
LNE	0316	New Pudsey	Down	122	
LNE	0316	New Pudsey	Up	122	
LNE	0316	New Southgate	Down Fast	172	
LNE	0316	New Southgate	Down Slow	172	
LNE	0316	New Southgate	Up Fast	172	
LNE	0316	New Southgate	Up Slow	172	
LNE	0316	Newark Castle	Down	97	
LNE	0316	Newark Castle	Down	97	
LNE	0316	Newark Castle	Up	66	
LNE	0316	Newark Castle	Up	66	
LNE	0316	Newark North Gate	Down	255	
LNE	0316	Newark North Gate	Passenger Loop	302	Down direction
LNE	0316	Newark North Gate	Passenger Loop	238	Up direction
LNE	0316	Newark North Gate	Up	255	
LNE	0317	Newcastle	1	161	
LNE	0317	Newcastle	2	362	
LNE	0317	Newcastle	3	304	
LNE	0317	Newcastle	4	268	
LNE	0317	Newcastle	5	68	
LNE	0317	Newcastle	6	97	Platforms 5 and 6 can be combined with a total length of 217m
LNE	0317	Newcastle	7	115	
LNE	0317	Newcastle	8	41	Platforms 7 and 8 combined with a total length of 209m in Down direction, and 212m in Up direction
LNE	0317	Newcastle	9	112	
LNE	0317	Newcastle	10	114	
LNE	0317	Newcastle	11	130	
LNE	0317	Newsham	Down	100	
LNE	0317	Newsham	Up	100	
LNE	0317	Newton Aycliffe	Down	59	
LNE	0317	Newton Aycliffe	Up	59	
LNE	0317	Normanton	Down	81	
LNE	0317	Normanton	Up	81	
LNE	0317	North Road	Single	60	
LNE	0317	Northallerton	Down	261	
LNE	0317	Northallerton	Up	270	
LNE	0317	Northumberland Park	Single	100	
LNE	0317	Nunthorpe	Down	86	
LNE	0317	Nunthorpe	Up	84	
LNE	0317	Oakleigh Park	Down Fast	173	
LNE	0317	Oakleigh Park	Down Slow	173	
LNE	0317	Oakleigh Park	Up Fast	174	
LNE	0317	Oakleigh Park	Up Slow	174	
LNE	0317	Old Street	Down	128	
LNE	0317	Old Street	Up	128	
LNE	0317	Outwood	Down	93	
LNE	0317	Outwood	Up	93	
LNE	0317	Pallion	Down	65	
LNE	0317	Pallion	Up	65	
LNE	0317	Palmers Green	Down	127	
LNE	0317	Palmers Green	Up	137	
LNE	0317	Pannal	Down	91	
LNE	0317	Pannal	Up	91	
LNE	0317	Park Lane	Down	65	
LNE	0317	Park Lane	Up	65	
LNE	0317	Pegswood	Down	89	
LNE	0317	Pegswood	Up	89	
LNE	0317	Penistone	Down	102	
LNE	0317	Penistone	Up	121	
LNE	0317	Peterborough	1	326	No longer a bay platform
LNE	0317	Peterborough	2	319	
LNE	0317	Peterborough	3	265	
LNE	0317	Peterborough	4	265	
LNE	0317	Peterborough	5	265	
LNE	0317	Peterborough	6	188	
LNE	0317	Peterborough	7	188	
LNE	0318	Pontefract Baghill	Down	127	
LNE	0318	Pontefract Baghill	Up	102	
LNE	0318	Pontefract Monkhill	Down	101	
LNE	0318	Pontefract Monkhill	Up	96	
LNE	0318	Pontefract Tanshelf	Down	101	
LNE	0318	Pontefract Tanshelf	Up	101	
LNE	0318	Poppleton	Down	84	
LNE	0318	Poppleton	Up	84	
LNE	0318	Potters Bar	Down Fast	166	
LNE	0318	Potters Bar	Down Slow	166	
LNE	0318	Potters Bar	Up Fast	164	
LNE	0318	Potters Bar	Up Slow	164	
LNE	0318	Prudhoe	Down	98	
LNE	0318	Prudhoe	Up	95	
LNE	0318	Rauceby	Down	91	
LNE	0318	Rauceby	Up	91	
LNE	0318	Ravensthorpe	Down	85	
LNE	0318	Ravensthorpe	Up	85	
LNE	0318	Rawcliffe	Single	46	Includes 8m of substandard width
LNE	0318	Redcar Central	Down	102	
LNE	0318	Redcar Central	Up	128	
LNE	0318	Redcar East	Down	84	
LNE	0318	Redcar East	Up	83	
LNE	0318	Retford	1	255	
LNE	0318	Retford	2	253	
LNE	0318	Retford	3	135	Low Level Platforms
LNE	0318	Retford	4	135	Low Level Platforms
LNE	0318	Riding Mill	Down	94	
LNE	0318	Riding Mill	Up	100	
LNE	0318	Rotherham Central	1	112	
LNE	0318	Rotherham Central	2	108	
LNE	0318	Rotherham Central	3	30	For tram (class 399) use only
LNE	0318	Rotherham Central	4	30	For tram (class 399) use only
LNE	0318	Royston	Down	169	
LNE	0318	Royston	Up	236	
LNE	0318	Ruskington	Down	57	
LNE	0318	Ruskington	Up	57	
LNE	0318	Ruswarp	Single	101	Down direction
LNE	0318	Ruswarp	Single	80	Up direction
LNE	0318	Saltaire	Down	143	
LNE	0318	Saltaire	Up	143	
LNE	0318	Saltburn	1	156	
LNE	0318	Saltburn	2	157	
LNE	0318	Saltmarshe	Down	71	
LNE	0318	Saltmarshe	Up	71	
LNE	0318	Sandal and Agbrigg	Down	93	
LNE	0318	Sandal and Agbrigg	Up	93	
LNE	0318	Sandy	Down Slow	246	
LNE	0318	Sandy	Up Slow	246	
LNE	0318	Saxilby	Down	107	
LNE	0318	Saxilby	Up	97	
LNE	0318	Scarborough	1	277	
LNE	0318	Scarborough	2	183	
LNE	0319	Scarborough	3	163	
LNE	0319	Scarborough	4	129	
LNE	0319	Scarborough	5	122	
LNE	0319	Scunthorpe	Down	143	
LNE	0319	Scunthorpe	Up	138	
LNE	0319	Seaburn	Down	65	
LNE	0319	Seaburn	Up	65	
LNE	0319	Seaham	Down	115	
LNE	0319	Seaham	Up	115	
LNE	0319	Seamer	Down	120	
LNE	0319	Seamer	Up	125	
LNE	0319	Seaton Carew	Down	125	
LNE	0319	Seaton Carew	Up	125	
LNE	0319	Selby	Bay Platform	120	
LNE	0319	Selby	Down	200	
LNE	0319	Selby	Up	257	
LNE	0319	Sheffield	1	330	
LNE	0319	Sheffield	1a	68	Down direction to S112 signal
LNE	0319	Sheffield	1a	68	Up direction to S101 signal
LNE	0319	Sheffield	1b	146	Down direction clear of 4060B points
LNE	0319	Sheffield	1b	143	Up direction to S116 signal
LNE	0319	Sheffield	TL	293	Between S102 and S123, between S102 and S113 64m
LNE	0319	Sheffield	DSS	293	
LNE	0319	Sheffield	2	345	Down direction to S127 signal
LNE	0319	Sheffield	2	329	Up direction to S104 signal
LNE	0319	Sheffield	2c	58	54m on east side
LNE	0319	Sheffield	3	126	Down direction to S128 signal
LNE	0319	Sheffield	4	112	
LNE	0319	Sheffield	5	326	Down direction
LNE	0319	Sheffield	5	237	Up direction to S106 signal
LNE	0319	Sheffield	USS1	247	
LNE	0319	Sheffield	USS2	247	
LNE	0319	Sheffield	6	351	
LNE	0319	Sheffield	7	107	135m on east side
LNE	0319	Sheffield	8	368	To S139 signal in down direction
LNE	0319	Sheffield	8	378	Up direction
LNE	0319	Shepley	Down	65	
LNE	0319	Shepley	Up	65	
LNE	0319	Sherburn in Elmet	Down	77	
LNE	0319	Sherburn in Elmet	Up	83	
LNE	0319	Shildon	Down	81	
LNE	0319	Shildon	Up	105	
LNE	0319	Shipley	1	143	
LNE	0319	Shipley	2	106	Down direction
LNE	0319	Shipley	2	115	Up Direction
LNE	0319	Shipley	3	240	Down direction
LNE	0319	Shipley	3	215	Up Direction
LNE	0319	Shipley	4	198	
LNE	0319	Shipley	5	98	
LNE	0319	Shirebrook	Down	79	
LNE	0319	Shirebrook	Up	79	
LNE	0319	Shireoaks	Down	97	
LNE	0320	Shireoaks	Up	97	
LNE	0320	Silkstone Common	Single	102	
LNE	0320	Skegness	2	201	
LNE	0320	Skegness	3	201	
LNE	0320	Skegness	4	245	
LNE	0320	Skegness	5	245	
LNE	0320	Skipton	1	99	
LNE	0320	Skipton	2	200	Up direction
LNE	0320	Skipton	2	197	Down direction
LNE	0320	Skipton	3	183	Down direction
LNE	0320	Skipton	3	155	Up direction
LNE	0320	Skipton	4	182	Down direction
LNE	0320	Skipton	4	154	Up direction
LNE	0320	Slaithwaite	Down	99	
LNE	0320	Slaithwaite	Up	99	
LNE	0320	Sleaford	1	224	
LNE	0320	Sleaford	2	186	
LNE	0320	Sleaford	3	186	
LNE	0320	Sleights	Single	74	
LNE	0320	Snaith	Single	42	
LNE	0320	South Bank	Down	75	
LNE	0320	South Bank	Up	74	
LNE	0320	South Elmsall	Down	91	
LNE	0320	South Elmsall	Up	91	
LNE	0320	South Hylton		130	
LNE	0320	South Milford	Down	68	
LNE	0320	South Milford	Up	91	
LNE	0320	Sowerby Bridge	Down	118	
LNE	0320	Sowerby Bridge	Up	121	
LNE	0320	Spalding	Down	145	
LNE	0320	Spalding	Up	183	
LNE	0320	St Neots	Down Fast	249	
LNE	0320	St Neots	Down Slow	249	
LNE	0320	St Neots	Up Fast	249	
LNE	0320	St Neots	Up Slow	249	
LNE	0320	St Peters	Down	65	
LNE	0320	St Peters	Up	65	
LNE	0320	Stadium of Light	Down	65	
LNE	0320	Stadium of Light	Up	65	
LNE	0320	Stallingborough	Down	85	
LNE	0320	Stallingborough	Up	86	
LNE	0320	Starbeck	Down	139	
LNE	0320	Starbeck	Up	139	
LNE	0320	Steeton and Silsden	Down	102	
LNE	0320	Steeton and Silsden	Up	102	
LNE	0320	Stevenage	Down Fast	247	
LNE	0320	Stevenage	Down Slow	247	
LNE	0320	Stevenage	Up Fast	247	
LNE	0320	Stevenage	Up Slow	247	
LNE	0320	Stevenage	Platform 5 (turnback)	127	
LNE	0320	Stocksfield	Down	109	
LNE	0320	Stocksfield	Up	119	
LNE	0321	Stocksmoor	Down	66	
LNE	0321	Stocksmoor	Up	66	
LNE	0321	Stockton	Down	104	
LNE	0321	Stockton	Up	104	
LNE	0321	Streethouse	Down	101	
LNE	0321	Streethouse	Up	103	
LNE	0321	Sunderland	1	72	Up direction
LNE	0321	Sunderland	1	77	Down direction
LNE	0321	Sunderland	2	61	Up direction
LNE	0321	Sunderland	2	84	Down direction. Platforms 1 and 2 can be combined with a total length of 179 metres in the Up direction and 206 metres in the Down direction.
LNE	0321	Sunderland	3	60	Down and Up directions
LNE	0321	Sunderland	4	72	Down direction
LNE	0321	Sunderland	4	80	Up direction. Platforms 3 and 4 can be combined with a total length of 174 metres in the Down direction and 177 metres in the Up direction.
LNE	0321	Swinderby	Down	75	
LNE	0321	Swinderby	Up	60	
LNE	0321	Swineshead	Down	94	
LNE	0321	Swineshead	Up	89	
LNE	0321	Swinton (S Yorkshire)	1	92	
LNE	0321	Swinton (S Yorkshire)	2	92	
LNE	0321	Swinton (S Yorkshire)	3	92	
LNE	0321	Teesside Airport	Up	76	
LNE	0321	Thirsk	Down	135	
LNE	0321	Thirsk	Up	148	
LNE	0321	Thornaby	Down	143	
LNE	0321	Thornaby	Up	146	
LNE	0321	Thorne North	Down	89	
LNE	0321	Thorne North	Up	90	
LNE	0321	Thorne South	Down	90	
LNE	0321	Thorne South	Up	90	
LNE	0321	Thornton Abbey	Down	55	
LNE	0321	Thornton Abbey	Up	55	
LNE	0321	Thorpe Culvert	Down	61	
LNE	0321	Thorpe Culvert	Up	62	
LNE	0321	Thurnscoe	Down	92	
LNE	0321	Thurnscoe	Up	92	
LNE	0321	Ulceby	Single	44	
LNE	0321	Ulleskelf	Down	106	
LNE	0321	Ulleskelf	Up	106	
LNE	0321	University	Down	65	
LNE	0321	University	Up	65	
LNE	0321	Wadsley Bridge	Single	111	Out of use
LNE	0321	Wainfleet	Down	96	
LNE	0321	Wainfleet	Up	96	
LNE	0321	Wakefield Kirkgate	1	92	
LNE	0321	Wakefield Kirkgate	2	120	
LNE	0321	Wakefield Kirkgate	3	103	
LNE	0321	Wakefield Westgate	Down	255	
LNE	0322	Wakefield Westgate	Up	255	
LNE	0322	Watton at Stone	Down	126	
LNE	0322	Watton at Stone	Up	126	
LNE	0322	Weeton	Down	88	
LNE	0322	Weeton	Up	86	
LNE	0322	Welham Green	Down	129	
LNE	0322	Welham Green	Up	129	
LNE	0322	Welwyn Garden City	Down Back	185	
LNE	0322	Welwyn Garden City	Down Slow	185	
LNE	0322	Welwyn Garden City	Up Back	185	
LNE	0322	Welwyn Garden City	Up Slow	185	
LNE	0322	Welwyn North	Down	170	
LNE	0322	Welwyn North	Up	170	
LNE	0322	Wetheral	Down	95	
LNE	0322	Wetheral	Up	74	
LNE	0322	Whitby	1	177	
LNE	0322	Whitby	2	173	
LNE	0322	White Rose	Up	150	
LNE	0322	White Rose	Down	150	
LNE	0322	Whitley Bridge	Down	65	
LNE	0322	Whitley Bridge	Up	59	
LNE	0322	Whitwell	Down	79	
LNE	0322	Whitwell	Up	79	
LNE	0322	Widdrington	Down	90	
LNE	0322	Widdrington	Up	90	
LNE	0322	Winchmore Hill	Down	136	
LNE	0322	Winchmore Hill	Up	135	
LNE	0322	Wombwell	Down	134	
LNE	0322	Wombwell	Up	99	
LNE	0322	Woodhouse	Down	84	
LNE	0322	Woodhouse	Up	84	
LNE	0322	Woodlesford	Down	100	
LNE	0322	Woodlesford	Up	101	
LNE	0322	Worksop	Down	121	
LNE	0322	Worksop	Up	113	
LNE	0322	Wressle	Down	95	
LNE	0322	Wressle	Up	79	
LNE	0322	Wylam	Down	92	
LNE	0322	Wylam	Up	107	
LNE	0322	Yarm	Down	78	
LNE	0322	Yarm	Up	78	
LNE	0322	York	1	184	
LNE	0322	York	10	315	Down direction
LNE	0322	York	10	266	Up direction
LNE	0322	York	11	329	Down direction
LNE	0322	York	11	329	Up direction
LNE	0322	York	2	169	
LNE	0322	York	3	242	Down direction
LNE	0322	York	3	272	Up direction
LNE	0322	York	4	157	
LNE	0322	York	5	391	Down direction
LNE	0322	York	5	410	Up direction
LNE	0322	York	6	264	
LNE	0323	York	7	249	
LNE	0323	York	8	152	
LNE	0323	York	9	318	Down direction
LNE	0323	York	9	375	Up direction
SC	0209	Aberdeen	3	212	Bay Platform
SC	0209	Aberdeen	4	209	Bay Platform
SC	0209	Aberdeen	5	230	Bay Platform
SC	0209	Aberdeen	6S	247	Up & Down Bi-Directional Platform
SC	0209	Aberdeen	6N	193	Up & Down Bi-Directional Platform
SC	0209	Aberdeen	6	512	Total Length of Platform 6N & 6S
SC	0209	Aberdeen	7S	173	Up & Down Bi-Directional Platform
SC	0209	Aberdeen	7N	178	Up & Down Bi-Directional Platform
SC	0209	Aberdeen	7	423	Total Length of Platform 7N & 7S
SC	0209	Aberdour	1	147	Up Platform
SC	0209	Aberdour	2	184	Down Platform
SC	0209	Achanalt		58	Single Platform
SC	0209	Achnasheen	1	67	Up Platform
SC	0209	Achnasheen	2	113	Down Platform
SC	0209	Achnashellach		66	Single Platform
SC	0209	Addiewell	1	149	Down Platform
SC	0209	Addiewell	2	151	Up Platform
SC	0209	Airbles	1	132	Down Platform
SC	0209	Airbles	2	132	Up Platform
SC	0209	Airdrie	1	191	Bay Platform
SC	0209	Airdrie	2	130	Down Platform
SC	0209	Airdrie	3	150	Up Platform
SC	0209	Alexandra Parade	1	131	Down Platform
SC	0209	Alexandra Parade	2	127	Up Platform
SC	0209	Alexandria		129	Single Platform
SC	0209	Alloa	1	151	Bay Platform
SC	0209	Alness		116	Single Platform
SC	0209	Altnabreac		95	Single Platform
SC	0209	Anderston	1	128	Up Platform
SC	0209	Anderston	2	128	Down Platform
SC	0209	Annan	2	152	Down Platform
SC	0209	Annan	1	130	Up Platform
SC	0209	Anniesland	1	142	Up Platform
SC	0209	Anniesland	2	142	Down Platform
SC	0209	Anniesland	3	123	Bay Platform
SC	0209	Arbroath	1	232	Up Platform
SC	0209	Arbroath	2	230	Down Platform
SC	0209	Ardgay	1	197	Up Platform
SC	0209	Ardgay	2	114	Down Platform
SC	0209	Ardlui	2	152	Down Platform
SC	0209	Ardlui	1	154	Up Platform
SC	0209	Ardrossan Harbour	1	170	Bay Platform
SC	0209	Ardrossan South Beach		190	Single Platform
SC	0209	Ardrossan Town		170	Single Platform
SC	0209	Argyle Street	1 & 2	128	Down Platform 1 / Up Platform 2
SC	0209	Arisaig	1 & 2	77	Down Platform 1 / Up Platform 2
SC	0210	Armadale	1 & 2	150	Down Platform 1 / Up Platform 2
SC	0210	Arrochar & Tarbet	1 & 2	153	Up Platform 1 / Down Platform 2
SC	0210	Ashfield	1 & 2	110	Up Platform 1 / Down Platform 2
SC	0210	Attadale		40	Single Platform
SC	0210	Auchinleck	1 & 2	141	Down Platform 1 / Up Platform 2
SC	0210	Aviemore	1	286	Highland Single Bi-Directional
SC	0210	Aviemore	2	312	Aviemore Loop Bi-Directional
SC	0210	Ayr	1	132	Bay Platform
SC	0210	Ayr	2	133	Bay Platform
SC	0210	Ayr	3	196	Up & Down Bi-Directional Platform
SC	0210	Ayr	4	195	Up & Down Bi-Directional Platform
SC	0210	Baillieston	1 & 2	110	Down Platform 1 / Up Platform 2
SC	0210	Balloch		132	Bay Platform
SC	0210	Balmossie	1 & 2	55	Up Platform 1 / Down Platform 2
SC	0210	Banavie		73	Single Platform
SC	0210	Barassie	1	133	Up Platform
SC	0210	Barassie	2	134	Down Platform
SC	0210	Bargeddie	1 & 2	110	Down Platform 1 / Up Platform 2
SC	0210	Barnhill	1	129	Down Platform
SC	0210	Barnhill	2	121	Up Platform
SC	0210	Barrhead	1	157	Up Platform Prohibited to passenger trains when station unstaffed
SC	0210	Barrhead	2	171	Down Platform
SC	0210	Barrhead	3	108	Bay Platform
SC	0210	Barrhill	2	69	Down Platform
SC	0210	Barrhill	1	77	Up Platform
SC	0210	Barry Links	1	242	Up Platform
SC	0210	Barry Links	2	176	Down Platform
SC	0210	Bathgate	1 & 2	150	Up Platform 1 / Down Platform 2
SC	0210	Bearsden	2	154	Down Platform
SC	0210	Bearsden	1	134	Up Platform
SC	0210	Beasdale		50	Single Platform
SC	0210	Beauly		15	Single Platform - Only front door of unit is opened
SC	0210	Bellgrove	1 & 2	139	Down Platform 1 / Up Platform 2
SC	0210	Bellshill	1	138	Down Platform
SC	0210	Bellshill	2	134	Up Platform
SC	0210	Bishopbriggs	1	165	Up Platform
SC	0210	Bishopbriggs	2	153	Down Platform
SC	0210	Bishopton	1	147	Up Platform
SC	0210	Bishopton	2	147	Down Platform
SC	0210	Blackridge	1 & 2	150	Down Platform 1 / Up Platform 2
SC	0210	Blair Atholl	1	144	Up Platform
SC	0210	Blair Atholl	2	229	Down Platform
SC	0210	Blairhill	1 & 2	148	Down Platform 1 / Up Platform 2
SC	0210	Blantyre	1	159	Down Platform
SC	0210	Blantyre	2	175	Up Platform
SC	0210	Bogston	1 & 2	138	Up Platform 1 / Down Platform 2
SC	0210	Bowling	1 & 2	131	Up Platform 1 / Down Platform 2
SC	0210	Branchton		137	Single Platform
SC	0210	Breich	1 & 2	128	Down Platform 1 / Up Platform 2
SC	0210	Bridge Of Allan	1 & 2	147	Up Platform 1 / Down Platform 2
SC	0211	Bridge Of Orchy	1 & 2	104	Up Platform 1 / Down Platform 2
SC	0211	Bridgeton	1	127	Down Platform
SC	0211	Bridgeton	2	130	Up Platform
SC	0211	Brora	1	149	Up Platform
SC	0211	Brora	2	146	Down Platform
SC	0211	Broughty Ferry	2	122	Down Platform
SC	0211	Broughty Ferry	1	134	Up Platform
SC	0211	Brunstane		143	Single Platform
SC	0211	Burnside	1	131	Down Platform
SC	0211	Burnside	2	133	Up Platform
SC	0211	Burntisland	1	154	Up Platform
SC	0211	Burntisland	2	151	Down Platform
SC	0211	Busby	1	133	Down Platform
SC	0211	Busby	2	143	Up Platform
SC	0211	Caldercruix	1 & 2	150	Down Platform 1 / Up Platform 2
SC	0211	Cambuslang	1 & 2	178	Down Platform 1 / Up Platform 2
SC	0211	Camelon	1 & 2	147	Up Platform 1 / Down Platform 2
SC	0211	Cameron Bridge	1 & 2	200	
SC	0211	Cardenden	1 & 2	147	Up Platform 1 / Down Platform 2
SC	0211	Cardonald	1 & 2	170	Up Platform 1 / Down Platform 2
SC	0211	Cardross	1	165	Up Platform
SC	0211	Cardross	2	155	Down Platform
SC	0211	Carfin	1	92	Up Platform
SC	0211	Carfin	2	97	Down Platform
SC	0211	Carluke	1	146	Down Platform
SC	0211	Carluke	2	136	Up Platform
SC	0211	Carmyle	1	125	Down Platform 1
SC	0211	Carmyle	2	124	Up Platform 2
SC	0211	Carnoustie	1	142	Up Platform
SC	0211	Carnoustie	2	148	Down Platform
SC	0211	Carntyne	1 & 2	128	Down Platform 1 / Up Platform 2
SC	0211	Carrbridge	1	258	Bi-Directional Mainline Platform
SC	0211	Carrbridge	2	256	Bi-Directional Loop Platform
SC	0211	Carstairs	1	270	Down Platform (Bi-Directional)
SC	0211	Carstairs	2	290	Up Platform (Bi-Directional)
SC	0211	Cartsdyke	1 & 2	138	Up Platform 1 / Down Platform 2
SC	0211	Cathcart	1	153	Down Platform
SC	0211	Cathcart	2	151	Up Platform
SC	0211	Charing Cross	1 & 2	175	Up Platform 1 / Down Platform 2
SC	0211	Chatelherault		130	Single Platform
SC	0211	Clarkston	1 & 2	144	Down Platform 1 / Up Platform 2
SC	0211	Cleland	1 & 2	125	Down Platform 1 / Up Platform 2
SC	0211	Clydebank	1 & 2	193	Up Platform 1 / Down Platform 2
SC	0211	Coatbridge Central	1	134	Down Platform
SC	0211	Coatbridge Central	2	134	Up Platform
SC	0211	Coatbridge Sunnyside	1	144	Down Platform
SC	0211	Coatbridge Sunnyside	2	159	Up Platform
SC	0211	Coatdyke	1 & 2	129	Down Platform 1 / Up Platform 2
SC	0211	Connel Ferry		127	Single Platform
SC	0211	Conon Bridge		15	Single Platform - Only one door of unit is opened
SC	0211	Corkerhill		118	Single Platform
SC	0211	Corpach		79	Single Platform
SC	0212	Corrour		41	Single Platform
SC	0212	Cowdenbeath	1	156	Up Platform
SC	0212	Cowdenbeath	2	153	Down Platform
SC	0212	Craigendoran		170	Single Platform
SC	0212	Crianlarich	1	149	Up Platform
SC	0212	Crianlarich	2	151	Down Platform
SC	0212	Croftfoot	1 & 2	183	Down Platform 1 / Up Platform 2
SC	0212	Crookston		109	Single Platform
SC	0212	Crosshill	1	151	Down Platform
SC	0212	Crosshill	2	154	Up Platform
SC	0212	Crossmyloof	1	151	Down Platform
SC	0212	Crossmyloof	2	151	Up Platform
SC	0212	Croy	1 & 2	195	Up Platform 1 / Down Platform 2
SC	0212	Culrain		96	Single Platform
SC	0212	Cumbernauld	1	129	Up Platform
SC	0212	Cumbernauld	2	132	Down Platform
SC	0212	Cupar	1 & 2	182	Up Platform 1 / Down Platform 2
SC	0212	Curriehill	Down/Up	121	Up Platform 1 / Down Platform 2
SC	0212	Dalmally	1	137	Up Platform
SC	0212	Dalmally	2	118	Down Platform
SC	0212	Dalgety Bay	1 & 2	147	Up Platform 1 / Down Platform 2
SC	0212	Dalmarnock	1 & 2	128	Down Platform 1 / Up Platform 2
SC	0212	Dalmeny	1	192	Up Platform
SC	0212	Dalmeny	2	175	Down Platform
SC	0212	Dalmuir	1	153	Down Platform
SC	0212	Dalmuir	2	145	Up Platform
SC	0212	Dalmuir	3	140	Down Platform
SC	0212	Dalmuir	4	128	Up Platform
SC	0212	Dalmuir	5	128	Bay Platform
SC	0212	Dalreoch	1 & 2	134	Up Platform 1 / Down Platform 2
SC	0212	Dalry	1 & 2	132	Up Platform 1 / Down Platform 2
SC	0212	Dalwhinnie	1	100	Up Platform - Bi-Directional
SC	0212	Dalwhinnie	2	180	Down Platform
SC	0212	Dingwall	1	174	Down Platform
SC	0212	Dingwall	2	218	Up Platform
SC	0212	Drem	1	123	Up Platform
SC	0212	Drem	2	135	Down Platform
SC	0212	Drumchapel	1	120	Up Platform
SC	0212	Drumchapel	2	169	Down Platform
SC	0212	Drumfrochar		124	Single Platform
SC	0212	Drumgelloch	1 & 2	150	Down Platform 1 / Up Platform 2
SC	0212	Drumry	1 & 2	153	Up Platform 1 / Down Platform 2
SC	0212	Duirinish		89	Single Platform
SC	0212	Duke Street	1	156	Down Platform
SC	0212	Duke Street	2	177	Up Platform
SC	0212	Dumbarton Central	1 & 2	189	Up Platform 1 / Down Platform 2
SC	0212	Dumbarton Central	3	183	Up & Down Bi-Directional Loop Platform
SC	0212	Dumbarton East	1 & 2	164	Up Platform 1 / Down Platform 2
SC	0212	Dumbreck	1 & 2	108	Up Platform 1 / Down Platform 2
SC	0212	Dumfries	1	290	Down Platform
SC	0212	Dumfries	2	251	Up Platform
SC	0212	Dunbar	1	256	Up & Down Bi-Directional Loop Platform
SC	0212	Dunbar	2	271	Down Platform
SC	0213	Dunblane	1	170	Up Platform
SC	0213	Dunblane	2	174	Down Platform
SC	0213	Dunblane	3	174	Down Passenger Loop
SC	0213	Duncraig		37	Single Platform
SC	0213	Dundee	1	362	Up & Down Bi-Directional Platform
SC	0213	Dundee	1N	98	Up & Down Bi-Directional Platform
SC	0213	Dundee	1S	230	Up & Down Bi-Directional Platform
SC	0213	Dundee	2	198	Bay Platform
SC	0213	Dundee	3	123	Bay Platform
SC	0213	Dundee	4	316	Up & Down Bi-Directional Platform
SC	0213	Dunfermline City	2	234	Down Platform
SC	0213	Dunfermline City	1	165	Up Platform
SC	0213	Dunfermline Queen Margaret	1 & 2	147	Up Platform 1 / Down Platform 2
SC	0213	Dunkeld & Birnam	1	255	Up Platform – Bi-Directional
SC	0213	Dunkeld & Birnam	2	213	Down Platform
SC	0213	Dunlop	1 & 2	165	Up Platform 1 / Down Platform 2 – Bi- Directional
SC	0213	Dunrobin Castle		62	Single Platform
SC	0213	Dyce	1	168	Down Platform – Bi-Directional
SC	0213	Dyce	2	162	Up Platform – Bi-Directional
SC	0213	East Kilbride		144	Bay Platform
